Time,Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
1607322.0,1,1,12.4,0.0,0.0,1.0,0.0,0.0,95,30.0,-0.0,-93,-30.0,0.0,1.0,88.9,0.0
1607351.0,1,1,9.1,0.0,0.0,1.0,0.0,15.3,95,30.0,-15.3,-93,-30.0,0.0,1.0,99.1,0.0
1607442.0,1,1,10.3,0.0,0.0,1.0,0.0,58.9,39,30.0,-58.9,-35,-30.0,0.0,1.0,88.0,0.0
1607533.0,1,1,9.1,0.0,0.0,1.0,0.0,54.4,39,30.0,-52.5,-35,-30.0,0.0,1.0,88.2,0.0
1607625.0,1,1,12.4,0.0,0.0,1.0,0.0,36.6,27,30.0,-34.7,-25,-30.0,0.0,1.0,87.5,0.0
1607716.0,1,1,12.4,0.0,0.0,1.0,0.0,29.0,27,30.0,-26.2,-25,-30.0,0.0,1.0,90.5,0.0
1607808.0,1,1,8.9,0.0,0.0,1.0,0.0,22.5,43,30.0,-21.6,-41,-30.0,0.0,1.0,89.2,0.0
1607900.0,1,1,12.4,0.0,0.0,1.0,0.0,30.0,43,30.0,-28.1,-41,-30.0,0.0,1.0,87.9,0.0
1607991.0,1,1,10.2,0.0,0.0,1.0,0.0,36.4,31,30.0,-34.6,-31,-30.0,0.0,1.0,90.8,0.0
1608083.0,1,1,10.0,0.0,0.0,1.0,0.0,31.0,31,30.0,-30.1,-31,-30.0,0.0,1.0,89.5,0.0
1608174.0,1,1,12.4,0.0,0.0,1.0,0.0,27.1,37,30.0,-27.1,-35,-30.0,0.0,1.0,87.7,0.0
1608265.0,1,1,10.1,0.0,0.0,1.0,0.0,29.1,37,30.0,-28.1,-35,-30.0,0.0,1.0,88.9,0.0
1608357.0,1,1,12.4,0.0,0.0,1.0,0.0,30.9,37,30.0,-30.0,-35,-30.0,0.0,1.0,89.4,0.0
1608449.0,1,1,12.4,0.0,0.0,1.0,0.0,30.9,37,30.0,-30.9,-35,-30.0,0.0,1.0,90.3,0.0
1608540.0,1,1,9.5,0.0,0.0,1.0,0.0,30.9,37,30.0,-30.0,-33,-30.0,0.0,1.0,92.0,0.0
1608632.0,1,1,9.0,0.0,0.0,1.0,0.0,31.8,37,30.0,-29.0,-33,-30.0,0.0,1.0,88.5,0.0
1608723.0,1,1,9.9,0.0,0.0,1.0,0.0,31.8,35,30.0,-28.1,-35,-30.0,0.0,1.0,88.9,0.0
1608815.0,1,1,9.6,0.0,0.0,1.0,0.0,30.9,35,30.0,-29.9,-35,-30.0,0.0,1.0,89.3,0.0
1608906.0,1,1,12.4,0.0,0.0,1.0,0.0,30.0,37,30.0,-30.0,-35,-30.0,0.0,1.0,88.0,0.0
1608997.0,1,1,9.4,0.0,0.0,1.0,0.0,30.9,37,30.0,-30.0,-35,-30.0,0.0,1.0,89.7,0.0
1609090.0,1,1,12.4,0.0,0.0,1.0,0.0,30.9,37,30.0,-30.0,-35,-30.0,0.0,1.0,87.8,0.0
1609181.0,1,1,9.7,0.0,0.0,1.0,0.0,31.8,37,30.0,-30.0,-35,-30.0,0.0,1.0,88.4,0.0
1609272.0,1,1,10.4,0.0,0.0,1.0,0.0,31.8,35,30.0,-30.9,-33,-30.0,0.0,1.0,90.4,0.0
1609364.0,1,1,10.9,0.0,0.0,1.0,0.0,30.9,35,30.0,-29.0,-33,-30.0,0.0,1.0,89.8,0.0
1609455.0,1,1,12.4,0.0,0.0,1.0,0.0,29.9,37,30.0,-29.0,-35,-30.0,0.0,1.0,87.0,0.0
1610547.0,0,1,12.4,0.0,0.0,1.0,0.0,31.7,37,0.0,-29.9,-35,0.0,0.0,1.0,90.4,0.0
1610575.0,0,1,9.2,0.0,0.0,1.0,0.0,24.5,37,0.0,-21.4,-35,0.0,0.0,1.0,86.7,0.0
1610665.0,0,1,10.2,0.0,0.0,1.0,0.0,4.7,37,0.0,-4.7,-35,0.0,0.0,1.0,87.7,0.0
1610755.0,0,1,12.4,0.0,0.0,1.0,0.0,-1.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.6,0.0
1610845.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.8,0.0
1610934.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.8,0.0
1611023.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.8,0.0
1611113.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.7,0.0
1611202.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.3,0.0
1611291.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.3,0.0
1611381.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,89.0,0.0
1611470.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.6,0.0
1611560.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,89.0,0.0
1611650.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.6,0.0
1611739.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,89.3,0.0
1611829.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.8,0.0
1611918.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.5,0.0
1612007.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.7,0.0
1612097.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.3,0.0
1612186.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.4,0.0
1612275.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.3,0.0
1612365.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.3,0.0
1612454.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.7,0.0
1612544.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.7,0.0
1612634.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.5,0.0
1612723.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.8,0.0
1612812.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.8,0.0
1612902.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.6,0.0
1612991.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.8,0.0
1613080.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.8,0.0
1613170.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.5,0.0
1613259.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.7,0.0
1613348.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.9,0.0
1613438.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.5,0.0
1613528.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,89.0,0.0
1613617.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.9,0.0
1613707.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.7,0.0
1613796.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.4,0.0
1613885.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.3,0.0
1613975.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.5,0.0
1614064.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.6,0.0
1614153.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.6,0.0
1614243.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.5,0.0
1614332.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.5,0.0
1614423.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.6,0.0
1614512.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.5,0.0
1614601.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.6,0.0
1614691.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.6,0.0
1614780.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.8,0.0
1614869.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.6,0.0
1614959.0,0,1,12.4,0.0,0.0,1.0,0.0,0.0,37,0.0,-0.0,-35,0.0,0.0,1.0,88.9,0.0
