Time,Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
190822.0,1,1,8.3,0.0,0.0,0.0,-1.0,-16.3,-195,30.0,-40.8,-255,-30.0,-90.0,1.0,-13.4,0.0
191014.0,1,1,8.6,0.0,0.0,0.0,-1.0,-24.2,-59,30.0,-49.3,-173,-30.0,-90.0,1.0,4.1,0.0
191202.0,1,1,9.6,0.0,0.0,0.0,-1.0,6.5,19,30.0,-16.7,-193,-30.0,-90.0,1.0,-9.3,0.0
191388.0,1,1,12.4,0.0,0.0,0.0,-1.0,8.2,79,30.0,-31.1,-207,-30.0,-90.0,1.0,-17.5,0.0
191576.0,1,1,12.4,0.0,0.0,0.0,-1.0,24.4,123,30.0,-58.7,-193,-30.0,-90.0,1.0,-24.2,0.0
191765.0,1,1,12.4,0.0,0.0,0.0,-1.0,34.4,107,30.0,-39.8,-115,-30.0,-90.0,1.0,-35.7,0.0
191954.0,1,1,12.4,0.0,0.0,0.0,-1.0,35.4,105,30.0,-27.2,-127,-30.0,-90.0,1.0,-38.7,0.0
192143.0,1,1,8.9,0.0,0.0,0.0,-1.0,37.5,77,30.0,-23.8,-127,-30.0,-90.0,1.0,-52.0,0.0
192330.0,1,1,12.4,0.0,0.0,0.0,-1.0,32.1,77,30.0,-22.9,-147,-30.0,-90.0,1.0,-65.0,0.0
192517.0,1,1,12.4,0.0,0.0,0.0,-1.0,37.5,71,30.0,-28.4,-157,-30.0,-90.0,1.0,-75.8,0.0
192704.0,1,1,12.4,0.0,0.0,0.0,-1.0,29.3,51,50.0,-21.0,-163,50.0,-90.0,1.0,-83.2,0.0
192889.0,1,1,12.4,0.0,0.0,0.0,-1.0,35.2,101,50.0,-0.0,-23,50.0,-90.0,1.0,-87.9,0.0
193072.0,1,1,12.4,0.0,0.0,0.0,-1.0,55.6,115,50.0,27.4,77,50.0,-90.0,1.0,-95.2,0.0
193253.0,1,1,12.4,0.0,0.0,0.0,-1.0,69.2,59,50.0,47.4,103,50.0,-90.0,1.0,-97.8,0.1
