Time,Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
91533.0,1,1,12.4,0.0,0.0,1.0,0.0,-14.9,-155,50.0,-26.7,-155,50.0,0.0,1.0,-59.2,0.0
91719.0,1,1,12.4,0.0,0.0,1.0,0.0,-43.6,-115,-30.0,-11.1,15,30.0,0.0,1.0,5.2,0.0
91899.0,1,1,12.4,0.0,0.0,1.0,0.0,10.6,29,50.0,22.2,109,50.0,0.0,1.0,-4.1,-0.0
92076.0,1,1,9.9,0.0,0.0,1.0,0.0,25.2,113,50.0,34.9,161,50.0,0.0,1.0,3.8,-0.0
92252.0,1,1,9.2,0.0,0.0,1.0,0.0,38.8,161,30.0,59.2,165,-30.0,0.0,1.0,5.5,0.0
92430.0,1,1,10.3,0.0,0.0,1.0,0.0,58.5,159,30.0,61.4,133,-30.0,0.0,1.0,21.3,0.0
92608.0,1,1,9.3,0.0,0.0,1.0,0.0,42.7,91,50.0,-0.0,-37,50.0,0.0,1.0,-13.3,0.1
92784.0,1,1,10.0,0.0,0.0,1.0,0.0,-3.9,-13,50.0,6.8,41,50.0,0.0,1.0,4.0,0.1
92959.0,1,1,12.4,0.0,0.0,1.0,0.0,20.6,93,50.0,20.6,141,50.0,0.0,1.0,4.7,0.1
93135.0,1,1,12.4,0.0,0.0,1.0,0.0,44.5,141,50.0,44.5,193,50.0,0.0,1.0,8.2,0.1
93312.0,1,1,9.1,0.0,0.0,1.0,0.0,68.8,105,50.0,68.8,161,50.0,0.0,1.0,-2.7,0.1
93488.0,1,1,9.4,0.0,0.0,1.0,0.0,53.1,83,50.0,54.0,129,50.0,0.0,1.0,-4.1,0.2
93664.0,1,1,12.4,0.0,0.0,1.0,0.0,42.6,105,50.0,42.6,143,50.0,0.0,1.0,3.0,0.2
93841.0,1,1,12.4,0.0,0.0,1.0,0.0,48.2,115,50.0,51.1,151,50.0,0.0,1.0,-3.0,0.2
94017.0,1,1,9.6,0.0,0.0,1.0,0.0,53.5,115,50.0,51.5,145,50.0,0.0,1.0,-3.0,0.3
94194.0,1,1,12.4,0.0,0.0,1.0,0.0,48.2,119,50.0,48.2,143,50.0,0.0,1.0,-2.5,0.3
94370.0,1,1,12.4,0.0,0.0,1.0,0.0,51.2,129,50.0,51.2,155,50.0,0.0,1.0,4.5,0.4
94547.0,1,1,9.4,0.0,0.0,1.0,0.0,57.5,115,30.0,55.5,141,-30.0,0.0,1.0,7.6,0.4
94725.0,1,1,12.4,0.0,0.0,1.0,0.0,50.6,109,50.0,48.6,127,50.0,0.0,1.0,5.2,0.4
94902.0,1,1,12.4,0.0,0.0,1.0,0.0,47.6,119,50.0,48.6,139,50.0,0.0,1.0,6.4,0.5
95079.0,1,1,12.4,0.0,0.0,1.0,0.0,50.4,115,50.0,51.4,135,50.0,0.0,1.0,7.4,0.5
95256.0,1,1,9.4,0.0,0.0,1.0,0.0,47.5,123,50.0,48.5,145,50.0,0.0,1.0,-5.6,0.5
95432.0,1,1,12.4,0.0,0.0,1.0,0.0,48.6,121,50.0,50.6,149,50.0,0.0,1.0,-2.6,0.6
95609.0,1,1,12.4,0.0,0.0,1.0,0.0,54.6,119,30.0,52.6,145,-30.0,0.0,1.0,5.8,0.6
95787.0,1,1,10.4,0.0,0.0,1.0,0.0,51.4,111,50.0,51.4,141,50.0,0.0,1.0,-2.3,0.6
95964.0,1,1,8.6,0.0,0.0,1.0,0.0,49.6,111,50.0,48.6,143,50.0,0.0,1.0,-2.1,0.7
96141.0,1,1,9.9,0.0,0.0,1.0,0.0,49.6,117,50.0,48.7,147,50.0,0.0,1.0,-8.9,0.7
96318.0,1,1,12.4,0.0,0.0,1.0,0.0,46.5,123,50.0,47.4,147,50.0,0.0,1.0,5.0,0.7
96495.0,1,1,12.4,0.0,0.0,1.0,0.0,50.0,131,-30.0,49.0,157,30.0,0.0,1.0,5.1,0.8
96673.0,1,1,8.8,0.0,0.0,1.0,0.0,48.5,131,50.0,48.5,157,50.0,0.0,1.0,-2.6,0.8
96850.0,1,1,12.4,0.0,0.0,1.0,0.0,48.4,131,50.0,46.4,157,50.0,0.0,1.0,1.4,0.8
