Time,Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
244758.0,1,1,8.3,0.0,0.0,1.0,0.0,-31.1,-195,30.0,-42.5,-255,-30.0,0.0,1.0,98.1,0.0
244946.0,1,1,10.1,0.0,0.0,1.0,0.0,-54.2,33,30.0,-99.2,-41,-30.0,0.0,1.0,89.4,0.0
245132.0,1,1,9.1,0.0,0.0,1.0,0.0,-79.5,-227,30.0,-101.4,-213,-30.0,0.0,1.0,95.7,0.0
245321.0,1,1,9.2,0.0,0.0,1.0,0.0,-42.7,107,30.0,-90.0,-23,-30.0,0.0,1.0,90.9,0.0
245508.0,1,1,8.6,0.0,0.0,1.0,0.0,-53.0,-255,30.0,-96.8,-247,-30.0,0.0,1.0,91.1,0.0
245696.0,1,1,12.4,0.0,0.0,1.0,0.0,-50.5,125,30.0,-93.7,-9,-30.0,0.0,1.0,91.7,0.0
245881.0,1,1,12.4,0.0,0.0,1.0,0.0,-44.8,-255,30.0,-87.9,-255,-30.0,0.0,1.0,89.0,0.0
246070.0,1,1,12.4,0.0,0.0,1.0,0.0,-50.5,137,30.0,-84.5,21,-30.0,0.0,1.0,92.0,0.0
246253.0,1,1,12.4,0.0,0.0,1.0,0.0,-36.1,-255,30.0,-85.1,-255,-30.0,0.0,1.0,88.6,0.0
246440.0,1,1,9.0,0.0,0.0,1.0,0.0,-61.4,107,30.0,-97.6,7,-30.0,0.0,1.0,93.7,0.0
246625.0,1,1,9.6,0.0,0.0,1.0,0.0,-51.1,-255,30.0,-91.3,-255,-30.0,0.0,1.0,92.3,0.0
246814.0,1,1,12.4,0.0,0.0,1.0,0.0,-46.4,141,30.0,-138.3,-135,-30.0,0.0,1.0,90.4,0.0
247003.0,1,1,8.7,0.0,0.0,1.0,0.0,-44.9,-255,30.0,-89.8,-71,-30.0,0.0,1.0,84.6,0.0
247190.0,1,1,9.4,0.0,0.0,1.0,0.0,-50.9,159,30.0,-101.9,-185,-30.0,0.0,1.0,88.7,0.0
247379.0,1,1,12.4,0.0,0.0,1.0,0.0,-39.8,-255,30.0,-97.8,-47,-30.0,0.0,1.0,90.6,0.0
247568.0,1,1,9.0,0.0,0.0,1.0,0.0,-48.2,173,30.0,-98.2,-215,-30.0,0.0,1.0,91.4,0.0
247756.0,1,1,8.9,0.0,0.0,1.0,0.0,-33.5,-255,30.0,-97.9,-21,-30.0,0.0,1.0,85.2,0.0
247945.0,1,1,12.4,0.0,0.0,1.0,0.0,-47.2,181,30.0,-97.9,-253,-30.0,0.0,1.0,91.1,0.0
248131.0,1,1,12.4,0.0,0.0,1.0,0.0,-27.6,-255,30.0,-89.1,25,-30.0,0.0,1.0,91.5,0.0
248317.0,1,1,10.4,0.0,0.0,1.0,0.0,-52.2,173,30.0,-86.1,-255,-30.0,0.0,1.0,89.8,0.0
248506.0,1,1,12.4,0.0,0.0,1.0,0.0,-32.6,-255,30.0,-111.6,-27,-30.0,0.0,1.0,88.9,0.0
248695.0,1,1,12.4,0.0,0.0,1.0,0.0,-46.1,173,30.0,-97.7,-237,-30.0,0.0,1.0,90.1,0.0
248884.0,1,1,12.4,0.0,0.0,1.0,0.0,-33.5,-255,30.0,-100.5,-15,-30.0,0.0,1.0,93.3,0.0
249073.0,1,1,9.9,0.0,0.0,1.0,0.0,-54.3,173,30.0,-99.5,-255,-30.0,0.0,1.0,92.4,0.0
249259.0,1,1,12.4,0.0,0.0,1.0,0.0,-30.6,-255,30.0,-101.2,9,-30.0,0.0,1.0,92.6,0.0
249446.0,1,1,9.0,0.0,0.0,1.0,0.0,-51.6,179,30.0,-89.7,-255,-30.0,0.0,1.0,81.7,0.0
249632.0,1,1,12.2,0.0,0.0,1.0,0.0,-28.7,-255,30.0,-95.4,7,-30.0,0.0,1.0,96.3,0.0
249819.0,1,1,8.3,0.0,0.0,1.0,0.0,-47.9,179,30.0,-93.0,-255,-30.0,0.0,1.0,89.1,0.0
250006.0,1,1,10.8,0.0,0.0,1.0,0.0,2.8,-255,30.0,-116.6,-9,-30.0,0.0,1.0,94.3,0.0
250192.0,1,1,9.1,0.0,0.0,1.0,0.0,-26.3,-135,30.0,-68.8,-155,-30.0,0.0,1.0,86.9,0.0
250381.0,1,1,9.7,0.0,0.0,1.0,0.0,-57.8,-11,30.0,-105.5,-87,-30.0,0.0,1.0,93.7,0.0
250569.0,1,1,12.4,0.0,0.0,1.0,0.0,-76.8,-165,30.0,-101.2,-145,-30.0,0.0,1.0,90.2,0.0
250759.0,1,1,12.4,0.0,0.0,1.0,0.0,-34.8,79,30.0,-94.3,-69,-30.0,0.0,1.0,92.5,0.0
250944.0,1,1,12.4,0.0,0.0,1.0,0.0,-71.4,-255,30.0,-97.0,-177,-30.0,0.0,1.0,90.0,0.0
251133.0,1,1,9.6,0.0,0.0,1.0,0.0,-51.7,143,30.0,-98.9,-63,-30.0,0.0,1.0,100.0,0.0
251321.0,1,1,9.7,0.0,0.0,1.0,0.0,-39.4,-255,30.0,-93.4,-185,-30.0,0.0,1.0,90.5,0.0
251509.0,1,1,12.4,0.0,0.0,1.0,0.0,-54.5,133,30.0,-100.0,-55,-30.0,0.0,1.0,86.5,0.0
251697.0,1,1,12.4,0.0,0.0,1.0,0.0,-45.9,-255,30.0,-95.4,-199,-30.0,0.0,1.0,96.1,0.0
252832.0,0,1,10.1,0.0,0.0,1.0,0.0,-169.1,-255,0.0,-113.5,-199,0.0,0.0,1.0,94.8,0.0
