Time,Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
314692.0,1,1,9.5,0.0,0.0,0.0,1.0,-31.3,-255,-30.0,-25.6,-195,30.0,90.0,1.0,-34.5,0.0
314883.0,1,1,12.4,0.0,0.0,0.0,1.0,-61.5,-175,-30.0,-30.7,-13,30.0,90.0,1.0,-4.4,0.0
315068.0,1,1,-2.4,0.0,0.0,0.0,1.0,-32.4,-147,-30.0,0.9,69,30.0,90.0,1.0,5.8,0.0
315252.0,1,1,10.6,0.0,0.0,0.0,1.0,-29.6,-139,-30.0,15.7,129,30.0,90.0,1.0,12.9,0.0
315438.0,1,1,10.3,0.0,0.0,0.0,1.0,-34.3,-127,-30.0,21.3,161,30.0,90.0,1.0,21.3,0.0
315623.0,1,1,12.4,0.0,0.0,0.0,1.0,-38.8,-107,-30.0,32.3,171,30.0,90.0,1.0,32.5,0.0
315807.0,1,1,9.0,0.0,0.0,0.0,1.0,-34.5,-87,-30.0,30.8,165,30.0,90.0,1.0,39.6,0.0
315990.0,1,1,9.5,0.0,0.0,0.0,1.0,-31.8,-87,-30.0,26.2,173,30.0,90.0,1.0,58.4,0.0
316173.0,1,1,8.4,0.0,0.0,0.0,1.0,-34.8,-77,-30.0,34.8,177,30.0,90.0,1.0,56.6,0.0
316356.0,1,1,9.6,0.0,0.0,0.0,1.0,-33.8,-61,-30.0,30.0,173,30.0,90.0,1.0,63.0,0.0
316538.0,1,1,12.4,0.0,0.0,0.0,1.0,-29.9,-63,-30.0,24.3,185,30.0,90.0,1.0,76.3,0.0
316722.0,1,1,9.0,0.0,0.0,0.0,1.0,-31.9,-61,-30.0,29.1,191,30.0,90.0,1.0,81.8,0.0
316904.0,1,1,8.1,0.0,0.0,0.0,1.0,5.7,111,50.0,34.1,233,50.0,90.0,1.0,84.7,-0.0
317083.0,1,1,8.4,0.0,0.0,0.0,1.0,19.1,211,50.0,45.0,255,50.0,90.0,1.0,95.7,0.0
317261.0,1,1,10.0,0.0,0.0,0.0,1.0,44.1,249,50.0,67.1,235,50.0,90.0,1.0,95.9,0.0
317441.0,1,1,9.5,0.0,0.0,0.0,1.0,60.5,243,50.0,68.2,193,50.0,90.0,1.0,102.9,0.1
317622.0,1,1,12.4,0.0,0.0,0.0,1.0,49.4,173,30.0,11.4,11,-30.0,90.0,1.0,92.7,0.1
317800.0,1,1,9.7,0.0,0.0,0.0,1.0,36.4,205,50.0,5.8,111,50.0,90.0,1.0,95.4,0.1
317979.0,1,1,12.4,0.0,0.0,0.0,1.0,37.4,227,50.0,19.2,203,50.0,90.0,1.0,88.4,0.1
