Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.4,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.2,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.6,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.6,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,0.0,95,30.0,-0.0,-93,-30.0,0.0,1.0,88.5,0.0
ON,1,10.1,0.0,0.0,1.0,0.0,44.0,95,30.0,-43.1,-93,-30.0,0.0,1.0,86.1,0.0
ON,1,9.9,0.0,0.0,1.0,0.0,80.4,-7,30.0,-79.3,9,-30.0,0.0,1.0,88.2,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,23.9,7,30.0,-23.9,-3,-30.0,0.0,1.0,88.1,0.0
ON,1,9.4,0.0,0.0,1.0,0.0,0.0,67,30.0,-0.0,-63,-30.0,0.0,1.0,88.3,0.0
ON,1,10.3,0.0,0.0,1.0,0.0,40.4,47,30.0,-38.7,-45,-30.0,0.0,1.0,87.6,0.0
ON,1,9.3,0.0,0.0,1.0,0.0,47.2,13,30.0,-45.0,-13,-30.0,0.0,1.0,87.9,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,19.5,35,30.0,-19.5,-33,-30.0,0.0,1.0,88.0,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,23.8,49,30.0,-22.2,-47,-30.0,0.0,1.0,88.4,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,38.0,33,30.0,-36.4,-33,-30.0,0.0,1.0,91.3,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,32.5,29,30.0,-32.5,-27,-30.0,0.0,1.0,88.5,0.0
ON,1,9.5,0.0,0.0,1.0,0.0,25.5,39,30.0,-24.9,-37,-30.0,0.0,1.0,87.0,0.0
ON,1,9.3,0.0,0.0,1.0,0.0,30.9,39,30.0,-28.7,-39,-30.0,0.0,1.0,86.2,0.0
ON,1,9.0,0.0,0.0,1.0,0.0,34.2,31,30.0,-33.6,-31,-30.0,0.0,1.0,89.0,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,28.7,35,30.0,-28.7,-33,-30.0,0.0,1.0,90.5,0.0
ON,1,9.3,0.0,0.0,1.0,0.0,28.7,39,30.0,-27.7,-37,-30.0,0.0,1.0,88.2,0.0
ON,1,9.2,0.0,0.0,1.0,0.0,32.5,35,30.0,-30.4,-35,-30.0,0.0,1.0,88.9,0.0
ON,1,9.4,0.0,0.0,1.0,0.0,30.9,35,30.0,-30.9,-33,-30.0,0.0,1.0,86.5,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,29.8,37,30.0,-28.7,-35,-30.0,0.0,1.0,84.9,0.0
ON,1,8.9,0.0,0.0,1.0,0.0,31.4,35,30.0,-29.8,-35,-30.0,0.0,1.0,89.4,0.0
ON,1,9.3,0.0,0.0,1.0,0.0,30.4,35,30.0,-30.4,-33,-30.0,0.0,1.0,90.8,0.0
ON,1,12.0,0.0,0.0,1.0,0.0,29.8,37,30.0,-28.7,-35,-30.0,0.0,1.0,90.4,0.0
